Age,EstimatedSalary,Purchased
21,19290,0
35,20290,0
26,43290,0
27,57290,0
19,76290,0
27,58290,0
27,84290,0
32,150290,1
25,33290,0
35,65290,0
26,80290,0
26,52290,0
20,86290,0
32,18290,0
18,82290,0
29,80290,0
47,25290,1
45,26290,1
46,28290,1
48,29290,1
45,22290,1
47,49290,1
48,41290,1
45,22290,1
46,23290,1
47,20290,1
49,28290,1
47,30290,1
29,43290,0
31,18290,0
31,74290,0
27,137290,1
21,16290,0
28,44290,0
27,90290,0
35,27290,0
33,28290,0
30,49290,0
26,72290,0
27,31290,0
27,17290,0
33,51290,0
35,108290,0
30,15290,0
28,84290,0
23,20290,0
25,79290,0
27,54290,0
30,135290,1
31,89290,0
24,32290,0
18,44290,0
29,83290,0
35,23290,0
27,58290,0
24,55290,0
23,48290,0
28,79290,0
22,18290,0
32,117290,0
27,20290,0
25,87290,0
23,66290,0
32,120290,1
59,83290,0
24,58290,0
24,19290,0
23,82290,0
22,63290,0
31,68290,0
25,80290,0
24,27290,0
20,23290,0
33,113290,0
32,18290,0
34,112290,1
18,52290,0
22,27290,0
28,87290,0
26,17290,0
30,80290,0
39,42290,0
20,49290,0
35,88290,0
30,62290,0
31,118290,1
24,55290,0
28,85290,0
26,81290,0
35,50290,0
22,81290,0
30,116290,0
26,15290,0
29,28290,0
29,83290,0
35,44290,0
35,25290,0
28,123290,1
35,73290,0
28,37290,0
27,88290,0
28,59290,0
32,86290,0
33,149290,1
19,21290,0
21,72290,0
26,35290,0
27,89290,0
26,86290,0
38,80290,0
39,71290,0
37,71290,0
38,61290,0
37,55290,0
42,80290,0
40,57290,0
35,75290,0
36,52290,0
40,59290,0
41,59290,0
36,75290,0
37,72290,0
40,75290,0
35,53290,0
41,51290,0
39,61290,0
42,65290,0
26,32290,0
30,17290,0
26,84290,0
31,58290,0
33,31290,0
30,87290,0
21,68290,0
28,55290,0
23,63290,0
20,82290,0
30,107290,1
28,59290,0
19,25290,0
19,85290,0
18,68290,0
35,59290,0
30,89290,0
34,25290,0
24,89290,0
27,96290,1
41,30290,0
29,61290,0
20,74290,0
26,15290,0
41,45290,0
31,76290,0
36,50290,0
40,47290,0
31,15290,0
46,59290,0
29,75290,0
26,30290,0
32,135290,1
32,100290,1
25,90290,0
37,33290,0
35,38290,0
33,69290,0
18,86290,0
22,55290,0
35,71290,0
29,148290,1
29,47290,0
21,88290,0
34,115290,0
26,118290,0
34,43290,0
34,72290,0
23,28290,0
35,47290,0
25,22290,0
24,23290,0
31,34290,0
26,16290,0
31,71290,0
32,117290,1
33,43290,0
33,60290,0
31,66290,0
20,82290,0
33,41290,0
35,72290,0
28,32290,0
24,84290,0
19,26290,0
29,43290,0
19,70290,0
28,89290,0
34,43290,0
30,79290,0
20,36290,0
26,80290,0
35,22290,0
35,39290,0
49,74290,0
39,134290,1
41,71290,0
58,101290,1
47,47290,0
55,130290,1
52,114290,0
40,142290,1
46,22290,0
48,96290,1
52,150290,1
59,42290,0
35,58290,0
47,43290,0
60,108290,1
49,65290,0
40,78290,0
46,96290,0
59,143290,1
41,80290,0
35,91290,1
37,144290,1
60,102290,1
35,60290,0
37,53290,0
36,126290,1
56,133290,1
40,72290,0
42,80290,1
35,147290,1
39,42290,0
40,107290,1
49,86290,1
38,112290,0
46,79290,1
40,57290,0
37,80290,0
46,82290,0
53,143290,1
42,149290,1
38,59290,0
50,88290,1
56,104290,1
41,72290,0
51,146290,1
35,50290,0
57,122290,1
41,52290,0
35,97290,1
44,39290,0
37,52290,0
48,134290,1
37,146290,1
50,44290,0
52,90290,1
41,72290,0
40,57290,0
58,95290,1
45,131290,1
35,77290,0
36,144290,1
55,125290,1
35,72290,0
48,90290,1
42,108290,1
40,75290,0
37,74290,0
47,144290,1
40,61290,0
43,133290,0
59,76290,1
60,42290,1
39,106290,1
57,26290,1
57,74290,1
38,71290,0
49,88290,1
52,38290,1
50,36290,1
59,88290,1
35,61290,0
37,70290,1
52,21290,1
48,141290,0
37,93290,1
37,62290,0
48,138290,1
41,79290,0
37,78290,1
39,134290,1
49,89290,1
55,39290,1
37,77290,0
35,57290,0
36,63290,0
42,73290,1
43,112290,1
45,79290,0
46,117290,1
58,38290,1
48,74290,1
37,137290,1
37,79290,1
40,60290,0
42,54290,0
51,134290,0
47,113290,1
36,125290,1
38,50290,0
42,70290,0
39,96290,1
38,50290,0
49,141290,1
39,79290,0
39,75290,1
54,104290,1
35,55290,0
45,32290,1
